Title,Price,Rating,Image URL,Result Type
"ASUS Vivobook 15, 13th Gen, Intel Core i3-1315U, 16GB RAM, 512GB SSD, FHD, Anti-Glare, 15.6"", 39.6 cm, Windows 11 Home, M365 Basic(1yr)* Office24, Quiet Blue, 1.70 kg, X1504VA-BQ342WS, Laptop",₹523,4.2 out of 5 stars,https://m.media-amazon.com/images/I/71OUu3JeNIL._AC_UY218_.jpg,Organic
"ASUS ROG Strix SCAR 18,Intel Core Ultra 9 275HX Gaming Laptop(NVIDIA RTX 5090-24GB/175W TGP/64GB/2TB/2.5K QHD+/18""/240Hz/Windows 11/M365 Basic(1Year)*/Office Home 2024/Off Black/3.30 Kg)G835LX-SA187WS",₹4999,4.4 out of 5 stars,https://m.media-amazon.com/images/I/71kUn311DqL._AC_UY218_.jpg,Organic
"HP 255R G10 Notebook (AMD Athlon Silver 7120U /8GB/512GB/DOS) 15.6-inch(39.6cm), Anti-Glare, HD Laptop, Radeon Graphics, Silver,1.52kg",₹405,N/A,https://m.media-amazon.com/images/I/71rDlgf2Q6L._AC_UY218_.jpg,Organic
"Apple 2026 MacBook Pro Laptop with M5 Max chip with 18‑core CPU and 40‑core GPU: Built for AI, 41.05 cm (16.2″) Liquid Retina XDR Display, 48GB Unified Memory, 2TB SSD Storage; Space Black",₹4999,4.3 out of 5 stars,https://m.media-amazon.com/images/I/61h78UMEXjL._AC_UY218_.jpg,Ad
"Apple 2026 MacBook Air 15″ Laptop with M5 chip: AI and Apple Intelligence, 38.91 cm (15.3″) Liquid Retina Display, 16GB Unified Memory, 1TB SSD Storage, 12MP Center Stage Camera, Touch ID; Midnight",₹1517,5.0 out of 5 stars,https://m.media-amazon.com/images/I/718d4Eu7cFL._AC_UY218_.jpg,Ad
"HP 15 (2026), AMD Ryzen 3 Quad Core 7335U - (8 GB DDR5/512 GB SSD/AMD Radeon 660M Graphics/Windows 11 Home) Thin and Light Business Laptop/15.6"" Display/Turbo Silver/Copilot Key/1.5kg/MS Office",₹436,N/A,https://m.media-amazon.com/images/I/71vF+WK+vrL._AC_UY218_.jpg,Organic
"HP Smartchoice Victus, 14th Gen Intel Core i5-14450HX, 6GB RTX 3050 (24GB DDR5, 512GB SSD) FHD, 144Hz, 15.6''/39.6cm, Win11, M365* Office24, Mica Silver, 2.3kg, fa2303tx/fa2315tx, RGB Gaming Laptop",₹899,4.3 out of 5 stars,https://m.media-amazon.com/images/I/71ESz+ewFFL._AC_UY218_.jpg,Organic
"HP Omen, AMD Ryzen AI 7 350, 8GB RTX 5050, 24GB DDR5(Upgradeable) 1TB SSD, 165Hz, 2k WUXGA, 3ms, 400 nits, 16'(40.6cm) Win11, M365* Office24, Black, 2.44kg, ap0165AX, RGB, AI Gaming Laptop",₹1349,4.5 out of 5 stars,https://m.media-amazon.com/images/I/71P33TSPkVL._AC_UY218_.jpg,Organic
"HP OmniBook X Flip OLED (Previously Envy) Intel Core Ultra 5 226V, 40 Tops(16GB LPDDR5X,512GB SSD) 3K, Touch, 120hz,14''/35.6cm, Win11, Office24, Meteor Silver,1.38kg, fm0058TU,Pen, Next Gen AI Laptop",₹1119,3.8 out of 5 stars,https://m.media-amazon.com/images/I/71N04uIPZDL._AC_UY218_.jpg,Organic
"HP Professional 15 (2026), Intel (i5 14th Gen) Core 5 120U - (16 GB/512 GB SSD/Intel Iris Xe Graphics/DOS) Business Laptop/15.6"" FHD/Backlit + Fingerprint/Silver/Copilot Key/1.5kg",₹615,3.2 out of 5 stars,https://m.media-amazon.com/images/I/71gGeGiFNKL._AC_UY218_.jpg,Organic
"HP 15, Intel Core i3-1315U-13th Gen Laptop (8GB DDR4 Ram,512GB SSD) Anti-Glare, Micro-Edge,15.6'"" FHD, Win11,M365 Basic(1yr),Office Home24, Silver,1.59kg, FHD Camera Shutter, 15-fd0569TU",₹494,4.0 out of 5 stars,https://m.media-amazon.com/images/I/61vulbzLZcL._AC_UY218_.jpg,Organic
"DELL PRO 15 (2025) AMD Ryzen 5 7520U Quad Core - (8 GB DDR5/512 GB SSD/AMD Radeon 610M Graphics/Windows 11 Home) Thin and Light Business Laptop/Backlit/15.6"" FHD Display/Black/1.5 kg/MSO 2021",₹447,3.7 out of 5 stars,https://m.media-amazon.com/images/I/71JpPRWXOOL._AC_UY218_.jpg,Organic
"ASUS Gaming V16 (2025) 14th Gen,Intel Core 7 240H Gaming Laptop (RTX 4050-6GB/16GB RAM/512GB SSD/Windows 11 Home/16/144Hz/M365*/Office Home 2024, Matte Black,1.95 Kg),V3607VU-RP275WS",₹929,4.4 out of 5 stars,https://m.media-amazon.com/images/I/71YeigfZCuL._AC_UY218_.jpg,Organic
"ASUS Zenbook 14, Smartchoice, Intel Core Ultra 5 Series 2,16GB RAM,1TB SSD,3K OLED 14"", Touchscreen, Win 11, Office Home 2024,Blue, 1.28kg, UX3405CA-PZ162WS, Intel iGPU, M365 Basic (1Year)* Laptop",₹1149,4.3 out of 5 stars,https://m.media-amazon.com/images/I/71n6Fs5KQPL._AC_UY218_.jpg,Ad
"HP Omen, Intel Core Ultra 7 255H, 8GB RTX 5050, 24GB DDR5(Upgradeable) 1TB SSD, 2K, 165Hz, 3ms Response time, IPS, 16''/40.6cm, Win11, M365*Office24, Shadow Black, 2.43kg, am0240tx, RGB Gaming Laptop",₹1469,3.9 out of 5 stars,https://m.media-amazon.com/images/I/71hYhVo8BgL._AC_UY218_.jpg,Ad
